172.17.252.32  ,  PJXRMYY-ACC-NW-MZ-2F-01-S5000-32
172.17.252.33  , PJXRMYY-ACC-NW-MZ-2F-01-S5000-33-POE
172.17.252.34  ,  PJXRMYY-ACC-NW-MZ-3F-01-S5000-34
172.17.252.35  ,  PJXRMYY-ACC-NW-MZ-3F-01-S5000-35
172.17.252.36  ,  PJXRMYY-ACC-NW-MZ-3F-01-S5000-36
172.17.252.37  ,  PJXRMYY-ACC-NW-ZY-4F-01-S5000-37
172.17.252.38  ,  PJXRMYY-ACC-NW-ZY-4F-01-S5000-38
172.17.252.39  ,  PJXRMYY-ACC-NW-ZY-4F-01-S5000-39
172.17.130.31  ,  PJXRMYY-ACC-NW-ZY-4F-01-S5000-31
172.17.130.32  ,  PJXRMYY-ACC-NW-ZY-4F-01-S5000-32
172.17.130.33  , PJXRMYY-ACC-NW-ZY-4F-01-S5000-33-POE
172.17.130.34  , PJXRMYY-ACC-NW-ZY-4F-01-S5000-34-POE
172.17.130.35  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-35
172.17.130.36  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-36
172.17.130.37  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-37
172.17.130.38  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-38
172.17.130.39  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-39
172.17.130.40  , PJXRMYY-ACC-NW-ZY-5F-01-S5000-40-POE
172.17.130.41  ,  PJXRMYY-ACC-NW-ZY-5F-01-S5000-41
172.17.130.43  ,  PJXRMYY-ACC-NW-ZY-6F-01-S5000-43
172.17.130.44  ,  PJXRMYY-ACC-NW-ZY-6F-01-S5000-44
172.17.130.45  ,  PJXRMYY-ACC-NW-ZY-6F-01-S5000-45
172.17.130.46  , PJXRMYY-ACC-NW-ZY-6F-01-S5000-46-POE
172.17.130.47  , PJXRMYY-ACC-NW-ZY-6F-01-S5000-47-POE
172.17.130.48  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-48
172.17.130.49  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-49
172.17.130.50  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-50
172.17.130.51  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-51
172.17.130.52  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-52
172.17.130.53  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-53
172.17.130.54  ,  PJXRMYY-ACC-NW-ZY-7F-01-S5000-54
172.17.130.55  , PJXRMYY-ACC-NW-ZY-7F-01-S5000-55-POE
172.17.130.56  , PJXRMYY-ACC-NW-ZY-7F-01-S5000-56-POE
172.17.252.14  , PJXRMYY-ACC-NW-ZY-7F-01-S5000-14-POE
172.17.252.15  , PJXRMYY-ACC-NW-ZY-7F-01-S5000-15-POE
172.17.130.57  , PJXRMYY-ACC-NW-ZY-8F-01-S5000-57-POE
172.17.130.58  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-58
172.17.130.59  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-59
172.17.130.60  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-60
172.17.130.61  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-61
172.17.130.62  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-62
172.17.130.63  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-63
172.17.130.64  , PJXRMYY-ACC-NW-ZY-8F-01-S5000-64-POE
172.17.130.65  ,  PJXRMYY-ACC-NW-ZY-8F-01-S5000-65
172.17.252.16  , PJXRMYY-ACC-NW-ZY-8F-01-S5000-16-POE
172.17.252.17  , PJXRMYY-ACC-NW-ZY-8F-01-S5000-17-POE
172.17.130.66  , PJXRMYY-ACC-NW-ZY-9F-01-S5000-66-POE
172.17.130.67  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-67
172.17.130.68  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-68
172.17.130.69  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-69
172.17.130.70  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-70
172.17.130.71  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-71
172.17.130.72  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-72
172.17.130.73  , PJXRMYY-ACC-NW-ZY-9F-01-S5000-73-POE
172.17.130.74  ,  PJXRMYY-ACC-NW-ZY-9F-01-S5000-74
172.17.252.18  , PJXRMYY-ACC-NW-ZY-9F-01-S5000-18-POE
172.17.252.19  , PJXRMYY-ACC-NW-ZY-9F-01-S5000-19-POE
172.17.130.75  , PJXRMYY-ACC-NW-ZY-10F-01-S5000-75-POE
172.17.130.76  , PJXRMYY-ACC-NW-ZY-10F-01-S5000-76-POE
172.17.130.77  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-77
172.17.130.78  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-78
172.17.130.79  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-79
172.17.130.80  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-80
172.17.130.81  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-81
172.17.130.82  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-82
172.17.130.83  ,  PJXRMYY-ACC-NW-ZY-10F-01-S5000-83
172.17.130.84  , PJXRMYY-ACC-NW-ZY-10F-01-S5000-84-POE
172.17.130.85  , PJXRMYY-ACC-NW-ZY-10F-01-S5000-85-POE
172.17.130.86  , PJXRMYY-ACC-NW-ZY-11F-01-S5000-86-POE
172.17.130.87  , PJXRMYY-ACC-NW-ZY-11F-01-S5000-87-POE
172.17.130.88  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-88
172.17.130.89  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-89
172.17.130.90  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-90
172.17.130.91  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-91
172.17.130.92  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-92
172.17.130.93  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-93
172.17.130.94  ,  PJXRMYY-ACC-NW-ZY-11F-01-S5000-94
172.17.130.95  , PJXRMYY-ACC-NW-ZY-11F-01-S5000-95-POE
172.17.130.96  , PJXRMYY-ACC-NW-ZY-11F-01-S5000-96-POE
172.17.130.97  ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-97
172.17.130.98  ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-98
172.17.130.99  ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-99
172.17.130.100 ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-100
172.17.130.101 ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-101
172.17.130.102 ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-102
172.17.130.103 ,  PJXRMYY-ACC-NW-ZY-12F-01-S5000-103
172.17.130.104 , PJXRMYY-ACC-NW-ZY-12F-01-S5000-104-POE
172.17.130.105 , PJXRMYY-ACC-NW-ZY-12F-01-S5000-105-POE
172.17.130.106 , PJXRMYY-ACC-NW-ZY-12F-01-S5000-106-POE
172.17.130.107 , PJXRMYY-ACC-NW-ZY-12F-01-S5000-107-POE
172.17.252.47  ,  PJXRMYY-ACC-NW-MZ-1F-02-S5000-47
172.17.252.48  ,  PJXRMYY-ACC-NW-MZ-1F-02-S5000-48
172.17.252.49  , PJXRMYY-ACC-NW-MZ-1F-02-S5000-49-POE
172.17.252.46  , PJXRMYY-ACC-NW-MZ-2F-02-S5000-46-POE
172.17.252.45  ,  PJXRMYY-ACC-NW-MZ-3F-02-S5000-45
172.17.252.44  ,  PJXRMYY-ACC-NW-MZ-3F-02-S5000-44
172.17.252.43  ,  PJXRMYY-ACC-NW-MZ-3F-02-S5000-43
172.17.252.42  , PJXRMYY-ACC-NW-MZ-3F-02-S5000-42-POE
172.17.252.41  , PJXRMYY-ACC-NW-MZ-3F-02-S5000-41-POE
172.17.130.20  , PJXRMYY-ACC-NW-ZY-4F-02-S5000-20-POE
172.17.130.21  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-21
172.17.130.22  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-22
172.17.130.23  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-23
172.17.130.24  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-24
172.17.130.25  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-25
172.17.130.26  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-26
172.17.130.27  ,  PJXRMYY-ACC-NW-ZY-4F-02-S5000-27
172.17.130.28  , PJXRMYY-ACC-NW-ZY-4F-02-S5000-28-POE
172.17.130.29  , PJXRMYY-ACC-NW-ZY-4F-02-S5000-29-POE
172.17.130.30  , PJXRMYY-ACC-NW-ZY-4F-02-S5000-30-POE
172.17.130.114 , PJXRMYY-ACC-NW-ZY-5F-02-S5000-114-POE
172.17.130.115 , PJXRMYY-ACC-NW-ZY-5F-02-S5000-115-POE
172.17.130.116 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-116
172.17.130.117 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-117
172.17.130.118 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-118
172.17.130.119 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-119
172.17.130.121 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-121
172.17.130.122 ,  PJXRMYY-ACC-NW-ZY-5F-02-S5000-122
172.17.130.123 , PJXRMYY-ACC-NW-ZY-5F-02-S5000-123-POE
172.17.130.124 , PJXRMYY-ACC-NW-ZY-5F-02-S5000-124-POE
172.17.130.125 , PJXRMYY-ACC-NW-ZY-5F-02-S5000-125-POE
172.17.130.126 , PJXRMYY-ACC-NW-ZY-6F-02-S5000-126-POE
172.17.130.127 , PJXRMYY-ACC-NW-ZY-6F-02-S5000-127-POE
172.17.130.128 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-128
172.17.130.129 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-129
172.17.130.130 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-130
172.17.130.131 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-131
172.17.130.132 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-132
172.17.130.133 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-133
172.17.130.134 ,  PJXRMYY-ACC-NW-ZY-6F-02-S5000-134
172.17.130.135 , PJXRMYY-ACC-NW-ZY-6F-02-S5000-135-POE
172.17.130.136 , PJXRMYY-ACC-NW-ZY-6F-02-S5000-136-POE
172.17.130.137 , PJXRMYY-ACC-NW-ZY-7F-02-S5000-137-POE
172.17.130.138 , PJXRMYY-ACC-NW-ZY-7F-02-S5000-138-POE
172.17.130.139 ,  PJXRMYY-ACC-NW-ZY-7F-02-S5000-139
172.17.130.140 ,  PJXRMYY-ACC-NW-ZY-7F-02-S5000-140
172.17.130.141 ,  PJXRMYY-ACC-NW-ZY-7F-02-S5000-141
172.17.130.142 ,  PJXRMYY-ACC-NW-ZY-7F-02-S5000-142
