新设备名,ip地址
PJXRMYY-AGG-WW-MZ-1F-01-S5000-31,172.18.252.31
PJXRMYY-ACC-WW-MZ-2F-01-S5000-32-POE,172.18.252.32
PJXRMYY-ACC-WW-MZ-3F-01-S5000-33,172.18.252.33
PJXRMYY-ACC-WW-ZY-4F-01-S5000-34,172.18.252.34
PJXRMYY-ACC-WW-ZY-4F-01-S5000-35-POE,172.18.252.35
PJXRMYY-ACC-WW-ZY-5F-01-S5000-36,172.18.252.36
PJXRMYY-ACC-WW-ZY-5F-01-S5000-37-POE,172.18.252.37
PJXRMYY-ACC-WW-ZY-6F-01-S5000-38,172.18.252.38
PJXRMYY-ACC-WW-ZY-6F-01-S5000-39-POE,172.18.252.39
PJXRMYY-ACC-WW-ZY-7F-01-S5000-32,172.18.130.32
PJXRMYY-ACC-WW-ZY-7F-01-S5000-33-POE,172.18.130.33
PJXRMYY-ACC-WW-ZY-8F-01-S5000-36,172.18.130.36
PJXRMYY-ACC-WW-ZY-8F-01-S5000-37-POE,172.18.130.37
PJXRMYY-ACC-WW-ZY-9F-01-S5000-40,172.18.130.40
PJXRMYY-ACC-WW-ZY-9F-01-S5000-41-POE,172.18.130.41
PJXRMYY-ACC-WW-ZY-10F-01-S5000-42,172.18.130.42
PJXRMYY-ACC-WW-ZY-10F-01-S5000-43-POE,172.18.130.43
PJXRMYY-ACC-WW-ZY-11F-01-S5000-44,172.18.130.44
PJXRMYY-ACC-WW-ZY-11F-01-S5000-45-POE,172.18.130.45
PJXRMYY-ACC-WW-ZY-12F-01-S5000-46,172.18.130.46
PJXRMYY-ACC-WW-ZY-12F-01-S5000-47-POE,172.18.130.47
PJXRMYY-ACC-WW-MZ-1F-02-S5000-44,172.18.252.44
PJXRMYY-ACC-WW-MZ-1F-02-S5000-45-POE,172.18.252.45
PJXRMYY-ACC-WW-MZ-2F-02-S5000-43,172.18.252.43
,172.18.252.42
PJXRMYY-ACC-WW-MZ-3F-02-S5000-41,172.18.252.41
PJXRMYY-ACC-WW-ZY-4F-02-S5000-191-POE,172.18.130.191
PJXRMYY-ACC-WW-ZY-5F-02-S5000-192-POE,172.18.130.192
PJXRMYY-ACC-WW-ZY-6F-02-S5000-193-POE,172.18.130.193
PJXRMYY-ACC-WW-ZY-7F-02-S5000-194-POE,172.18.130.194
PJXRMYY-ACC-WW-ZY-8F-02-S5000-195-POE,172.18.130.195
PJXRMYY-ACC-WW-ZY-9F-02-S5000-196-POE,172.18.130.196
PJXRMYY-ACC-WW-ZY-10F-02-S5000-197-POE,172.18.130.197
PJXRMYY-ACC-WW-ZY-11F-02-S5000-198-POE,172.18.130.198
PJXRMYY-ACC-WW-ZY-12F-02-S5000-200-POE,172.18.130.200
PJXRMYY-ACC-WW-MZ-1F-03-S5000-56-POE,172.18.252.56
PJXRMYY-ACC-WW-MZ-1F-03-S5000-57,172.18.252.57
PJXRMYY-ACC-WW-MZ-2F-03-S5000-51,172.18.252.51
PJXRMYY-ACC-WW-MZ-2F-03-S5000-52,172.18.252.52
PJXRMYY-ACC-WW-MZ-2F-03-S5000-53-POE,172.18.252.53
,172.18.252.54
,172.18.252.55
PJXRMYY-ACC-WW-MZ-1F-04-S5000-61,172.18.252.61
PJXRMYY-ACC-WW-MZ-1F-04-S5000-62,172.18.252.62
PJXRMYY-ACC-WW-MZ-1F-04-S5000-63-POE,172.18.252.63
PJXRMYY-ACC-WW-MZ-2F-04-S5000-64,172.18.252.64
PJXRMYY-ACC-WW-MZ-2F-04-S5000-65-POE,172.18.252.65
PJXRMYY-ACC-WW-MZ-3F-04-S5000-66,172.18.252.66
PJXRMYY-ACC-WW-MZ-3F-04-S5000-67,172.18.252.67
PJXRMYY-ACC-WW-ZY-4F-04-S5000-68,172.18.252.68
PJXRMYY-ACC-WW-ZY-4F-04-S5000-69,172.18.252.69
PJXRMYY-ACC-WW-MZ-1F-05-S5000-71,172.18.252.71
PJXRMYY-ACC-WW-MZ-1F-05-S5000-72,172.18.252.72
PJXRMYY-ACC-WW-MZ-1F-05-S5000-73,172.18.252.73
PJXRMYY-ACC-WW-MZ-2F-05-S5000-74,172.18.252.74
PJXRMYY-ACC-WW-MZ-2F-05-S5000-75-POE,172.18.252.75
PJXRMYY-ACC-WW-MZ-3F-05-S5000-77,172.18.252.77
PJXRMYY-ACC-WW-MZ-3F-05-S5000-78,172.18.252.78
PJXRMYY-ACC-WW-ZY-4F-05-S5000-171,172.18.252.171
PJXRMYY-ACC-WW-ZY-4F-05-S5000-172,172.18.252.172
,172.18.252.81
PJXRMYY-ACC-WW-XZ-2F-01-S5000-82-POE,172.18.252.82
PJXRMYY-ACC-WW-XZ-3F-01-S5000-83-POE,172.18.252.83
PJXRMYY-ACC-WW-XZ-1F-02-S5000-91,172.18.252.91
PJXRMYY-ACC-WW-XZ-1F-02-S5000-92-POE,172.18.252.92
PJXRMYY-ACC-WW-XZ-2F-02-S5000-93,172.18.252.93
PJXRMYY-ACC-WW-XZ-2F-02-S5000-94-POE,172.18.252.94
PJXRMYY-ACC-WW-XZ-3F-02-S5000-95,172.18.252.95
PJXRMYY-ACC-WW-XZ-3F-02-S5000-96-POE,172.18.252.96
PJXRMYY-ACC-WW-ZP-ZP-S5000-101,172.18.252.101
PJXRMYY-ACC-WW-XS-S5000-102,172.18.252.102
,172.18.252.103
,172.18.252.104
PJXRMYY-ACC-WW-FZ3-S5000-105,172.18.252.105
PJXRMYY-ACC-WW-FZ4-S5000-106,172.18.252.106
